Player,Season,DIS,DBPM,DWS,D-LEBRON
Anthony Davis,2017-18,20.98420694,1.4,4.9,1.24
Rudy Gobert,2017-18,19.43146842,2.5,3.9,3.58
Draymond Green,2017-18,18.41121083,1.9,3.4,1.98
Ben Simmons,2017-18,17.63746845,2.5,5.0,1.35
Robert Covington,2017-18,16.34396154,1.7,4.5,2.59
Joel Embiid,2017-18,16.09686739,1.3,3.8,1.35
Giannis Antetokounmpo,2017-18,15.99467096,0.9,3.6,1.22
Al Horford,2017-18,15.61898041,2.0,3.8,0.87
Thaddeus Young,2017-18,15.26185937,0.4,3.2,1.28
Aron Baynes,2017-18,14.92824771,0.7,2.5,1.81
LaMarcus Aldridge,2017-18,14.39706739,-0.4,3.6,0.55
Jusuf Nurkic,2017-18,14.33495693,1.1,3.9,2.27
Karl-Anthony Towns,2017-18,14.15837671,0.2,3.4,0.74
Andre Drummond,2017-18,14.1548004,1.7,5.7,2.51
Victor Oladipo,2017-18,14.13827192,1.7,4.0,1.6
Marc Gasol,2017-18,14.07203024,0.6,2.6,1.14
Myles Turner,2017-18,13.91188039,0.4,2.5,1.69
DeMarcus Cousins,2017-18,13.83252914,2.2,3.2,1.67
Derrick Favors,2017-18,13.80558374,0.7,3.5,1.64
Clint Capela,2017-18,13.77256182,1.0,4.1,1.91
Ekpe Udoh,2017-18,13.59065633,4.4,1.8,2.7
Salah Mejri,2017-18,13.55040225,2.8,1.3,2.74
Dwight Powell,2017-18,13.20615135,1.0,2.1,1.54
Al-Farouq Aminu,2017-18,12.89182924,1.1,3.2,1.04
Kristaps Porzingis,2017-18,12.22014142,,,0.88
Josh Richardson,2017-18,12.21731598,1.3,3.5,1.08
Kyle Lowry,2017-18,12.08675213,0.5,3.1,0.6
Amir Johnson,2017-18,12.07125717,2.2,2.0,1.44
Andre Roberson,2017-18,11.77713525,1.8,1.3,2.93
Kyle Anderson,2017-18,11.67421549,3.3,3.8,2.26
Willie Cauley-Stein,2017-18,11.66826797,0.3,2.2,1.38
Marcin Gortat,2017-18,11.36393471,0.3,2.4,1.51
Dwight Howard,2017-18,10.88484935,0.1,3.9,1.58
Jakob Poeltl,2017-18,10.80272529,1.1,2.4,1.54
Anthony Tolliver,2017-18,10.6955297,-0.3,1.5,0.58
DeAndre Jordan,2017-18,10.45858934,-0.3,3.4,0.52
Alex Len,2017-18,10.36671526,-0.3,1.3,0.68
Nerlens Noel,2017-18,10.33672837,2.7,1.0,2.78
Bam Adebayo,2017-18,10.109119,0.7,1.9,0.91
Jaylen Brown,2017-18,10.08689962,0.3,3.2,0.99
Mason Plumlee,2017-18,10.04741802,1.4,1.8,1.22
Marquese Chriss,2017-18,9.977480093,0.4,1.5,1.23
Eric Moreland,2017-18,9.914731043,3.3,1.6,3.1
Larry Nance Jr.,2017-18,9.905686058,0.7,0.7,2.0
Jayson Tatum,2017-18,9.823194859,1.2,4.0,1.57
Steven Adams,2017-18,9.72490675,-0.6,3.0,-0.24
JaKarr Sampson,2017-18,9.702562955,1.1,0.4,1.72
Jrue Holiday,2017-18,9.695019014,0.3,2.9,0.36
John Collins,2017-18,9.593137917,0.2,2.0,1.03
Ricky Rubio,2017-18,9.588956531,1.5,3.8,1.77
Kosta Koufos,2017-18,9.566534466,-0.2,1.5,0.8
Daniel Theis,2017-18,9.403209384,2.3,1.9,1.31
Lonzo Ball,2017-18,9.336718106,1.6,2.5,1.41
Pau Gasol,2017-18,9.252441436,1.9,3.3,1.23
Kyle O'Quinn,2017-18,9.151103022,2.6,2.1,1.47
Wesley Johnson,2017-18,9.148550047,1.7,1.7,1.51
Dejounte Murray,2017-18,9.146877554,2.2,3.4,2.0
Ersan Ilyasova,2017-18,9.030350002,,,0.53
Hassan Whiteside,2017-18,8.991525298,1.1,3.0,2.06
Dewayne Dedmon,2017-18,8.926959457,0.5,1.9,0.98
David West,2017-18,8.743306595,2.5,1.7,1.15
Kevon Looney,2017-18,8.681394619,1.0,1.3,0.94
Pascal Siakam,2017-18,8.648134854,1.6,2.5,1.29
Danny Green,2017-18,8.517014055,1.4,2.9,1.25
Justise Winslow,2017-18,8.334320992,1.1,2.4,1.38
Brook Lopez,2017-18,8.205569533,0.2,1.9,0.33
Jonas Valanciunas,2017-18,8.117064872,,,0.26
Dirk Nowitzki,2017-18,8.100942755,0.6,2.2,1.37
Blake Griffin,2017-18,7.824056689,0.1,0.8,-0.89
Paul Millsap,2017-18,7.558660051,0.0,1.1,0.69
Nikola Vucevic,2017-18,7.480479583,1.0,2.3,1.23
Marcus Smart,2017-18,7.403768836,1.0,2.5,0.81
Jerami Grant,2017-18,7.313482627,0.3,1.9,-0.03
Tyson Chandler,2017-18,7.245738544,-0.6,0.8,0.9
Lucas Nogueira,2017-18,7.233284547,5.0,1.0,2.92
Donovan Mitchell,2017-18,7.177181869,0.3,3.8,0.39
Luc Mbah a Moute,2017-18,7.148412243,1.4,2.1,0.43
Nikola Jokic,2017-18,7.145231626,1.6,2.9,1.3
Jimmy Butler III,2017-18,7.049797383,0.7,1.8,0.69
Ed Davis,2017-18,7.004650889,0.6,2.5,1.09
Kelly Olynyk,2017-18,6.807125719,1.2,2.7,1.46
Stanley Johnson,2017-18,6.794313536,1.1,2.4,0.94
Jarrett Allen,2017-18,6.603794312,0.1,1.5,0.01
Otto Porter Jr.,2017-18,6.51859275,1.0,3.1,1.09
Quincy Acy,2017-18,6.510250662,0.1,1.1,0.05
Montrezl Harrell,2017-18,6.499172272,0.2,1.3,-0.54
Justin Holiday,2017-18,6.354641536,-0.3,1.6,0.53
Taj Gibson,2017-18,6.341381653,-0.7,1.7,0.0
Joe Ingles,2017-18,6.318123294,1.3,3.6,0.77
Royce O'Neale,2017-18,6.199385247,1.8,1.8,0.9
P.J. Tucker,2017-18,6.191622256,0.8,3.0,0.82
John Henson,2017-18,6.162670502,0.1,2.2,0.9
Delon Wright,2017-18,6.134367157,1.8,2.1,0.09
James Johnson,2017-18,6.05609474,1.6,2.8,-0.22
Andre Iguodala,2017-18,6.029863584,0.8,1.6,0.46
Nene,2017-18,5.968696953,0.6,1.1,1.25
Harrison Barnes,2017-18,5.742110151,-1.3,1.9,-0.71
Dragan Bender,2017-18,5.705016465,-0.8,0.8,-0.31
Aaron Gordon,2017-18,5.697390522,-0.6,2.0,0.33
Lance Thomas,2017-18,5.620207853,-0.5,0.6,0.05
Jordan Bell,2017-18,5.587346574,2.8,1.4,1.21
Miles Plumlee,2017-18,5.573060115,-0.1,0.7,1.13
Kemba Walker,2017-18,5.571877513,-0.7,2.0,-0.71
JaVale McGee,2017-18,5.451302446,1.2,1.1,1.67
Davis Bertans,2017-18,5.334740108,0.6,1.4,0.24
Julius Randle,2017-18,5.281910893,0.0,2.6,-1.06
LeBron James,2017-18,5.274197592,1.4,3.0,-0.43
DeMarre Carroll,2017-18,5.272785074,-0.4,1.8,0.18
T.J. McConnell,2017-18,5.243788346,1.9,2.5,-0.37
Sindarius Thornwell,2017-18,5.186345942,1.0,0.9,0.54
Paul George,2017-18,5.179800008,0.6,3.9,0.3
Brandon Ingram,2017-18,5.03628512,-0.3,1.8,-0.11
Russell Westbrook,2017-18,5.023395586,1.5,4.5,0.84
Markieff Morris,2017-18,5.006855778,0.1,2.1,0.22
Marvin Williams,2017-18,4.984825966,0.3,1.9,-0.02
Serge Ibaka,2017-18,4.835703812,0.0,3.0,0.54
Kevin Durant,2017-18,4.816261966,0.6,2.9,-0.34
Carmelo Anthony,2017-18,4.772083263,-1.3,2.5,0.01
CJ McCollum,2017-18,4.745684901,-0.5,2.9,-0.27
Jonathan Isaac,2017-18,4.687035403,2.4,0.8,1.81
Maxi Kleber,2017-18,4.550523743,0.5,1.2,0.98
Fred VanVleet,2017-18,4.499102761,1.0,2.0,-0.06
James Harden,2017-18,4.459343358,1.4,3.8,0.01
Gorgui Dieng,2017-18,4.45619512,-0.1,1.3,0.43
Domantas Sabonis,2017-18,4.426442293,-0.5,2.2,0.32
Taurean Prince,2017-18,4.424430816,-0.6,2.0,-0.18
Thabo Sefolosha,2017-18,4.418406005,2.5,1.6,1.28
Nikola Mirotic,2017-18,4.230141363,-0.3,1.2,-0.23
Khris Middleton,2017-18,4.203221351,-0.8,2.3,-0.2
Ivica Zubac,2017-18,4.178551275,-0.3,0.5,0.52
Gary Harris,2017-18,4.132133229,-0.2,1.5,0.02
Cody Zeller,2017-18,4.046407816,0.0,0.7,1.06
Brandan Wright,2017-18,4.020648777,0.3,0.0,1.61
Maurice Harkless,2017-18,4.017415758,1.7,1.7,0.82
Jarell Martin,2017-18,3.939799506,-0.7,1.2,-0.19
Rudy Gay,2017-18,3.886861573,0.6,2.1,0.17
Derrick Williams,2017-18,3.828324386,-7.0,0.0,-0.02
Michael Kidd-Gilchrist,2017-18,3.814768659,0.0,1.6,1.01
Chris Paul,2017-18,3.809660663,1.8,2.7,0.3
Udonis Haslem,2017-18,3.742803161,-1.8,0.1,-0.29
Boban Marjanovic,2017-18,3.741362021,-0.8,0.3,0.66
Richaun Holmes,2017-18,3.673876945,1.4,1.3,0.01
Allen Crabbe,2017-18,3.656705114,-0.7,1.4,-0.65
Shaquille Harrison,2017-18,3.539112088,1.7,0.4,1.09
Mario Chalmers,2017-18,3.511555072,0.5,1.3,0.5
Zaza Pachulia,2017-18,3.467639143,0.7,1.4,1.33
Ian Mahinmi,2017-18,3.456861002,0.2,1.4,0.88
Joakim Noah,2017-18,3.423669345,1.7,0.1,0.11
Manu Ginobili,2017-18,3.419578092,,,-0.92
Patrick Patterson,2017-18,3.410988052,1.0,1.4,0.34
OG Anunoby,2017-18,3.382195872,0.6,1.6,0.05
Corey Brewer,2017-18,3.33847758,2.3,0.7,0.07
Tobias Harris,2017-18,3.228339192,-0.2,1.0,-0.52
