Player,Team,Pos,G,MP,DIS,,,
Anthony Davis,NOP,PF,75,2727,20.98420694,,,
Rudy Gobert,UTA,C,56,1816,19.43146842,,,
Draymond Green,GSW,PF,70,2287,18.41121083,,,
Ben Simmons,PHI,PG,81,2732,17.63746845,,,
Robert Covington,PHI,SF,80,2531,16.34396154,,,
Joel Embiid,PHI,C,63,1912,16.09686739,,,
Giannis Antetokounmpo,MIL,PF,75,2756,15.99467096,,,
Al Horford,BOS,C,72,2277,15.61898041,,,
Thaddeus Young,IND,PF,81,2607,15.26185937,,,
Aron Baynes,BOS,C,81,1485,14.92824771,,,
LaMarcus Aldridge,SAS,C,75,2509,14.39706739,,,
Jusuf Nurkic,POR,C,79,2088,14.33495693,,,
Karl-Anthony Towns,MIN,C,82,2918,14.15837671,,,
Andre Drummond,DET,C,78,2625,14.1548004,,,
Victor Oladipo,IND,SG,75,2552,14.13827192,,,
Marc Gasol,MEM,C,73,2408,14.07203024,,,
Myles Turner,IND,C,65,1836,13.91188039,,,
DeMarcus Cousins,NOP,C,48,1737,13.83252914,,,
Derrick Favors,UTA,C,77,2153,13.80558374,,,
Clint Capela,HOU,C,74,2034,13.77256182,,,
Ekpe Udoh,UTA,C,63,810,13.59065633,,,
Salah Mejri,DAL,C,58,729,13.55040225,,,
Dwight Powell,DAL,C,79,1672,13.20615135,,,
Al-Farouq Aminu,POR,PF,69,2072,12.89182924,,,
Kristaps Porzingis,NYK,PF,47,1553,12.22014142,,,
Josh Richardson,MIA,SF,81,2689,12.21731598,,,
Kyle Lowry,TOR,PG,78,2510,12.08675213,,,
Amir Johnson,PHI,C,74,1170,12.07125717,,,
Andre Roberson,OKC,SG,39,1037,11.77713525,,,
Kyle Anderson,SAS,SF,74,1978,11.67421549,,,
Willie Cauley-Stein,SAC,C,73,2044,11.66826797,,,
Marcin Gortat,WAS,C,82,2075,11.36393471,,,
Dwight Howard,CHA,C,81,2463,10.88484935,,,
Jakob Poeltl,TOR,C,82,1524,10.80272529,,,
Anthony Tolliver,DET,PF,79,1757,10.6955297,,,
DeAndre Jordan,LAC,C,77,2424,10.45858934,,,
Alex Len,PHX,C,69,1395,10.36671526,,,
Nerlens Noel,DAL,C,28,472,10.33672837,,,
Bam Adebayo,MIA,C,69,1368,10.109119,,,
