Player,Team,Pos,G,MP,DIS,Z_Hustle,Z_Defense,Z_Difficulty,Z_D_LEBRON
Victor Wembanyama,SAS,C,46,1527,25.19928535,1.872208433,3.150984248,2.346134945,2.728665671
Draymond Green,GSW,PF,68,1983,24.47404775,3.270158578,2.434819252,0.11848153,2.799600531
Ivica Zubac,LAC,C,80,2624,20.30372315,2.417452029,2.107138501,1.150379726,2.019317074
Amen Thompson,HOU,SF,69,2225,19.16438863,1.556344772,2.418487489,1.594122914,2.019317074
Rudy Gobert,MIN,C,72,2388,18.57873789,1.866094102,1.968055619,1.122105633,2.125719364
Jarrett Allen,CLE,C,81,2296,18.57019467,2.578886001,1.215886313,1.086311584,2.054784504
Alex Caruso,OKC,SG,53,1041,17.44082482,1.176267287,2.594855885,1.360542126,1.794690019
Isaiah Stewart,DET,C,72,1434,17.41545053,1.211746148,2.447281202,0.407313215,2.350346419
Dyson Daniels,ATL,SG,76,2571,17.14227785,3.476210785,-0.688101222,2.246023571,1.688287729
Kris Dunn,LAC,PG,74,1783,17.06296256,1.549071851,1.246513769,1.451658977,2.373991373
Jaren Jackson Jr.,MEM,C,73,2207,16.95303077,2.291321443,3.05750732,-0.050606732,0.837069413
Jalen Williams,OKC,SG,69,2237,16.88555082,2.164482017,2.207960354,1.101098035,1.073518945
Isaiah Hartenstein,OKC,C,57,1590,16.80559873,1.674916255,1.276869388,1.072381398,2.326701466
Evan Mobley,CLE,PF,71,2167,16.76851138,2.223888635,1.86351961,-0.342334988,1.983849644
Goga Bitadze,ORL,C,70,1430,16.67544272,1.137256051,1.622491024,0.184422643,2.97693768
Donovan Clingan,POR,C,67,1324,16.61839387,1.121187069,2.803943897,-0.844761954,2.504038615
Walker Kessler,UTA,C,58,1740,16.60674365,1.769584305,2.789992083,0.001975575,1.44001572
Bam Adebayo,MIA,C,78,2674,16.31145214,2.775449923,0.96587612,1.117316048,1.298146001
Anthony Davis,DAL,PF,51,1706,16.15892486,1.45620672,2.343565052,0.412171245,1.771045065
Ausar Thompson,DET,SF,59,1328,15.79811012,1.159813644,1.969181023,1.38838762,1.771045065
Brook Lopez,MIL,C,80,2546,15.56755472,3.032104468,1.494123993,-0.275793762,1.049873992
Alperen Sengun,HOU,C,75,2394,14.76466177,2.938039804,0.950922091,0.353344959,1.014406562
Luguentz Dort,OKC,SF,71,2073,14.67837582,1.463179869,1.949774199,1.959106604,0.825246936
Derrick White,BOS,SG,76,2574,14.03544072,2.244318316,1.179281729,0.850396219,1.026229039
Jakob Poeltl,TOR,C,57,1686,13.56411252,1.744023278,0.720317287,1.639649544,1.357258384
OG Anunoby,NYK,PF,74,2706,13.45428425,2.572633544,1.004293546,1.374802565,0.387815302
Kristaps Porzingis,BOS,C,42,1210,13.25496158,0.727012306,2.619212402,0.870224551,1.073518945
Jaden McDaniels,MIN,PF,82,2614,13.13763967,1.881034605,0.344099478,1.495536759,1.463660673
Shai Gilgeous-Alexander,OKC,PG,76,2598,13.0532922,2.049870342,1.351961783,0.391306212,0.978939132
Toumani Camara,POR,PF,78,2548,12.94202808,3.940674988,-0.79896583,1.089843274,0.494217591
Kevon Looney,GSW,C,76,1142,12.7622706,0.830867901,1.91781839,-0.175748956,1.912914785
Keegan Murray,SAC,PF,76,2610,12.72742013,2.44410764,0.977027905,1.405525605,0.281413012
Nicolas Batum,LAC,PF,77,1367,12.5989897,0.451616848,2.673067067,0.137304597,1.451838197
Tari Eason,HOU,PF,57,1420,12.59780521,1.034737233,1.329242582,0.476988094,1.818334972
Robert Williams III,POR,C,19,351,12.50354532,-0.778214191,2.260968685,-0.988633945,3.556239034
